,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Label
83,10,0,6,0,5,1,0,0,0,13,0,1,0,0,22,0,0,0
84,2,1,2,0,0,0,0,0,0,4,2,0,0,0,13,0,0,1
85,84,0,44,6,25,11,1,0,0,99,5,10,10,5,83,1,5,0
86,7,0,9,1,2,1,0,0,3,14,1,1,1,0,9,0,0,0
87,14,0,3,0,2,0,0,0,0,13,0,1,0,0,18,0,0,0
88,13,0,8,1,5,2,1,0,1,36,2,0,1,7,17,0,0,0
89,40,0,8,5,12,6,0,1,2,43,2,3,4,1,1,0,0,0
90,9,0,3,1,2,1,0,0,0,9,0,0,2,0,3,0,0,1
91,19,0,15,0,8,1,0,0,0,20,0,0,1,1,20,0,0,1
92,8,0,6,1,2,1,0,0,0,10,0,1,0,0,11,0,0,1
93,7,0,5,0,6,0,0,0,0,9,3,0,0,0,8,0,0,0
94,5,0,3,0,4,0,0,0,0,4,0,0,1,0,7,0,0,1
95,13,0,1,0,4,1,0,0,1,7,2,0,2,0,12,1,0,1
96,10,0,5,0,7,3,0,0,1,11,0,0,1,0,24,0,0,0
97,10,1,8,0,5,1,0,0,0,11,2,0,1,0,4,0,0,0
98,69,0,25,2,34,15,0,3,2,71,6,5,5,8,55,1,1,0
99,29,0,13,3,9,4,0,1,2,46,0,1,3,1,48,0,0,1
100,10,0,4,1,1,1,0,0,0,17,0,0,1,1,11,0,0,1
101,1,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,1
102,2,0,2,0,1,0,0,1,0,4,1,0,0,2,5,0,0,0
103,14,0,11,0,4,1,0,1,0,18,0,0,2,3,19,0,0,1
104,20,0,9,4,8,1,0,0,0,28,2,0,0,0,30,1,0,1
105,7,0,0,0,1,1,0,0,0,6,0,2,0,2,7,0,0,0
106,10,0,8,0,3,2,0,0,0,12,1,1,0,0,11,0,0,0
107,33,0,7,2,7,8,0,0,0,30,1,5,5,0,20,1,0,1
108,20,0,7,1,5,2,0,0,1,21,0,0,2,0,28,0,0,0
109,22,0,6,2,5,1,0,1,1,21,2,1,1,3,19,1,0,1
110,23,0,10,0,3,6,1,0,1,20,0,0,2,2,19,0,0,0
111,21,0,4,0,7,5,0,0,0,16,1,3,0,3,13,0,0,1
112,10,0,6,1,7,4,0,1,0,17,1,2,0,0,12,0,0,0
113,20,1,7,1,3,9,0,0,2,16,1,4,2,7,11,1,0,1
114,18,0,9,2,14,2,0,1,1,28,0,0,3,0,27,0,0,0
115,17,0,10,0,5,0,0,0,0,14,0,0,4,2,19,0,0,0
116,4,0,6,0,1,0,0,0,0,5,1,0,0,3,7,1,0,1
117,5,0,3,0,3,0,0,0,0,8,0,0,1,0,6,1,0,1
118,27,0,10,1,14,2,0,1,0,36,1,0,2,0,17,0,0,1
119,13,0,6,0,4,2,0,0,1,18,1,0,2,0,12,0,0,1
120,10,0,8,0,6,1,0,0,0,22,0,0,1,0,12,0,0,0
121,21,0,7,2,5,1,0,1,0,12,3,0,0,0,13,0,0,1
122,20,0,6,1,7,2,0,0,0,15,1,0,2,1,23,0,0,0
123,23,0,10,2,8,4,0,1,0,24,1,1,2,0,15,0,0,1
124,33,0,12,2,10,0,1,1,0,41,4,0,8,1,29,0,0,0
125,4,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1
126,19,0,12,2,5,1,0,0,0,20,0,1,0,0,18,0,0,0
127,7,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,1
128,4,0,3,0,2,2,0,0,0,6,0,1,0,0,3,0,0,0
129,20,1,5,2,10,0,2,0,0,30,3,0,4,3,27,1,0,0
130,28,0,6,0,10,8,0,0,0,22,0,4,0,1,18,1,0,0
131,9,0,4,0,2,1,0,1,1,12,0,1,1,0,10,0,0,0
132,11,0,4,0,6,5,0,0,0,12,0,0,5,1,12,2,0,0
133,18,0,7,2,9,2,0,1,0,23,7,0,0,0,20,0,0,1
134,26,0,7,1,10,5,0,0,2,17,0,2,5,0,14,0,0,1
135,23,0,14,1,5,3,0,0,0,30,2,1,2,2,20,0,0,0
136,28,0,10,2,7,6,1,1,0,27,2,5,1,0,15,1,0,0
137,46,0,24,2,6,8,0,2,0,65,6,5,3,2,54,3,0,0
138,12,0,4,0,1,1,0,0,0,12,0,3,0,0,4,0,2,1
139,23,2,15,1,12,3,2,1,4,34,1,1,4,2,34,1,0,0
140,23,1,13,2,11,1,0,0,0,29,0,1,0,4,12,1,0,1
141,28,1,19,3,7,3,0,0,1,52,4,0,4,7,33,1,0,0
142,9,0,9,0,4,0,0,0,0,12,1,0,1,0,18,0,0,0
