Title,RN,MLP,SVM,NB
mpnet+bagOfWords-Lemmatization,0.8549999999999999,0.8474999999999999,0.73,-1
mpnet+tfidf-min preprocess,0.8525,0.89,0.8700000000000001,-1
mpnet+tfidf-Lemmatization,0.8550000000000001,0.8800000000000001,0.885,-1
mpnet+tfidf+bagOfWords-min preprocess,0.8550000000000001,0.8475000000000001,0.73,-1
mpnet+tfidf+bagOfWords-Lemmatization,0.8574999999999999,0.8450000000000001,0.73,-1
roberta-min preprocess,0.8724999999999999,0.85,0.89,-1
roberta-Lemmatization,0.8525,0.8625,0.8875,-1
roberta+bagOfWords-min preprocess,0.85,0.8375,0.7274999999999999,-1
roberta+bagOfWords-Lemmatization,0.8474999999999999,0.835,0.7274999999999999,-1
roberta+tfidf-min preprocess,0.8474999999999999,0.8649999999999999,0.8775000000000001,-1
roberta+tfidf-Lemmatization,0.845,0.865,0.8775000000000001,-1
roberta+tfidf+bagOfWords-min preprocess,0.8325000000000001,0.8450000000000001,0.7274999999999999,-1
roberta+tfidf+bagOfWords-Lemmatization,0.8424999999999999,0.8450000000000001,0.7274999999999999,-1
USE-min preprocess,0.8625,0.845,0.8850000000000001,-1
USE-Lemmatization,0.8525,0.8275,0.8775000000000001,-1
USE+bagOfWords-min preprocess,0.8574999999999999,0.8299999999999998,0.7274999999999999,-1
USE+bagOfWords-Lemmatization,0.8574999999999999,0.8325000000000001,0.7274999999999999,-1
USE+tfidf-min preprocess,0.865,0.8625,0.8724999999999999,-1
USE+tfidf-Lemmatization,0.8724999999999999,0.865,0.8975,-1
USE+tfidf+bagOfWords-min preprocess,0.86,0.835,0.7274999999999999,-1
USE+tfidf+bagOfWords-Lemmatization,0.8550000000000001,0.835,0.7274999999999999,-1
